expo,table,project,sponsors,link,category,special
1,34,PillUp,"Caltech Fund Social Good Prize [Caltech Fund], Best Use of Twilio API [Twilio], Best Medical Hack, Best Hardware Hack, Best Overall Use of Microsoft Technology, Hack on Best Domain Name",http://hacktech.devpost.com/submissions/49776-pillup,,
1,35,gitFood,"Best Use of Amazon Web Services (AWS), Best Medical Hack, Best Use of Big Data, Machine Learning, or Data Processing by Taboola, Best Sports/Entertainment Hack, Best Overall Use of Microsoft Technology, Hack on Best Domain Name",http://hacktech.devpost.com/submissions/49778-gitfood,,
1,36,keymix.,"Best Hardware Hack, Best Sports/Entertainment Hack",http://hacktech.devpost.com/submissions/49781-keymix,,
1,37,Q,"Best Hack on .TECH Domain , Best Education Hack, Best Use of Twilio API [Twilio]",http://hacktech.devpost.com/submissions/49784-q,,
1,38,Handshake,"Best Use of Amazon Web Services (AWS), Hack on Best Domain Name",http://hacktech.devpost.com/submissions/49785-handshake,,
1,39,uncertaintyscript,Best Education Hack,http://hacktech.devpost.com/submissions/49786-uncertaintyscript,,
1,40,Soothe,"Best Use of Amazon Web Services (AWS), Caltech Fund Social Good Prize [Caltech Fund], Best Hack on .TECH Domain , Best Education Hack, Best Medical Hack, Best Hardware Hack, Best Sports/Entertainment Hack, Best Overall Use of Microsoft Technology, Hack on Best Domain Name",http://hacktech.devpost.com/submissions/49787-soothe,,
1,41,GetMeThis,"Caltech Fund Social Good Prize [Caltech Fund], Best Sports/Entertainment Hack",http://hacktech.devpost.com/submissions/49788-getmethis,,
1,42,Howl on iOS,Best Medical Hack,http://hacktech.devpost.com/submissions/49795-howl-on-ios,,
1,43,TheatreV,"Best Synaptics Hack - Touch [Synaptics], Best Hack on .TECH Domain , Best Education Hack, Best Hardware Hack, Best Sports/Entertainment Hack, Best Overall Use of Microsoft Technology, Hack on Best Domain Name",http://hacktech.devpost.com/submissions/49797-theatrev,,
1,44,Aid,"Best Use of Amazon Web Services (AWS), Best Medical Hack",http://hacktech.devpost.com/submissions/49799-aid,,
1,45,Flyxer Digital Audio Workstation,"Best Education Hack, Coolest Developer Tool, Best Sports/Entertainment Hack",http://hacktech.devpost.com/submissions/49800-flyxer-digital-audio-workstation,,
1,46,Phoebe,"Best Use of Amazon Web Services (AWS), Hack on Best Domain Name",http://hacktech.devpost.com/submissions/49805-phoebe,,
1,47,Assassins,"Best Use of Twilio API [Twilio], Best Sports/Entertainment Hack",http://hacktech.devpost.com/submissions/49806-assassins,,
1,48,Academic Course Advisor,Best Education Hack,http://hacktech.devpost.com/submissions/49807-academic-course-advisor,,
1,49,Write2Learn,"Best Synaptics Hack - Touch [Synaptics], Caltech Fund Social Good Prize [Caltech Fund], Best Education Hack, Coolest Developer Tool, Best Hardware Hack, Best Use of Big Data, Machine Learning, or Data Processing by Taboola",http://hacktech.devpost.com/submissions/49808-write2learn,,
1,27,ExTree,"Best Education Hack, Best Use of Twilio API [Twilio], Best Sports/Entertainment Hack",http://hacktech.devpost.com/submissions/49814-extree,,
1,1,Calc-u-Race,"Best Education Hack, Best Sports/Entertainment Hack",http://hacktech.devpost.com/submissions/49815-calc-u-race,,
1,19,GeoStats,"Best Education Hack, Best Medical Hack, Best Use of Big Data, Machine Learning, or Data Processing by Taboola",http://hacktech.devpost.com/submissions/49818-geostats,,
1,53,Troll My Friends,"Best Use of Amazon Web Services (AWS), Best Use of Twilio API [Twilio], Hack on Best Domain Name",http://hacktech.devpost.com/submissions/49820-troll-my-friends,,
1,54,Fullerene,"Best Use of Wolfram Technology, Best Sports/Entertainment Hack",http://hacktech.devpost.com/submissions/49823-fullerene,,
1,55,synapti-vision ,"Best Synaptics Hack - Touch [Synaptics], Coolest Developer Tool, Best Hardware Hack, Best Use of Big Data, Machine Learning, or Data Processing by Taboola",http://hacktech.devpost.com/submissions/49827-synapti-vision,,
1,56,SantaPost,"Best Use of Postmates API, Best Use of Wolfram Technology, Best Use of Twilio API [Twilio], Hack on Best Domain Name",http://hacktech.devpost.com/submissions/49828-santapost,,
1,57,Paideia,"Caltech Fund Social Good Prize [Caltech Fund], Best Use of Wolfram Technology, Best Education Hack, Best Use of Big Data, Machine Learning, or Data Processing by Taboola",http://hacktech.devpost.com/submissions/49829-paideia,,
1,58,Wireless Mobile Text Encoder,"Caltech Fund Social Good Prize [Caltech Fund], Best Hardware Hack",http://hacktech.devpost.com/submissions/49831-wireless-mobile-text-encoder,,
1,59,Image Buy,"Best Use of Postmates API, Best Use of Amazon Web Services (AWS), Best Use of Wolfram Technology, Best Use of Twilio API [Twilio], Hack on Best Domain Name",http://hacktech.devpost.com/submissions/49832-image-buy,,
1,60,Synaptify,"Best Synaptics Hack - Touch [Synaptics], Best Synaptics Hack - Fingerprint [Synaptics], Best Hardware Hack, Best Sports/Entertainment Hack",http://hacktech.devpost.com/submissions/49834-synaptify,,
1,61,TechPort,"Caltech Fund Social Good Prize [Caltech Fund], Best Use of Twilio API [Twilio]",http://hacktech.devpost.com/submissions/49835-techport,,
1,62,Crescendo,"Best Synaptics Hack - Touch [Synaptics], Best Hardware Hack",http://hacktech.devpost.com/submissions/49838-crescendo,,
1,63,Pettind,"Caltech Fund Social Good Prize [Caltech Fund], Best Use of Twilio API [Twilio], Hack on Best Domain Name",http://hacktech.devpost.com/submissions/49839-pettind,,
1,64,RealSense tracking for Gear VR,Best Hardware Hack,http://hacktech.devpost.com/submissions/49840-realsense-tracking-for-gear-vr,,
1,65,PromptTerminal,Most Useful Prompt Command,http://hacktech.devpost.com/submissions/49841-promptterminal,,
1,66,MoodMuzic,Best Overall Use of Microsoft Technology,http://hacktech.devpost.com/submissions/49849-moodmuzic,,
1,67,TouchTune,Best Synaptics Hack - Fingerprint [Synaptics],http://hacktech.devpost.com/submissions/49850-touchtune,,
1,68,WebTone,"Caltech Fund Social Good Prize [Caltech Fund], Best Education Hack, Coolest Developer Tool, Best Use of Big Data, Machine Learning, or Data Processing by Taboola",http://hacktech.devpost.com/submissions/49852-webtone,,
1,69,Ambient,Best Overall Use of Microsoft Technology,http://hacktech.devpost.com/submissions/49854-ambient,,
1,70,ThruSight,"Caltech Fund Social Good Prize [Caltech Fund], Best Hardware Hack",http://hacktech.devpost.com/submissions/49855-thrusight,,
1,71,Pik,"Caltech Fund Social Good Prize [Caltech Fund], Best Sports/Entertainment Hack",http://hacktech.devpost.com/submissions/49856-pik,,
1,72,Proof Builder,Best Education Hack,http://hacktech.devpost.com/submissions/49857-proof-builder,,
1,73,FindMyCar,"Best Education Hack, Coolest Developer Tool, Best Sports/Entertainment Hack",http://hacktech.devpost.com/submissions/49861-findmycar,,
1,74,fotosynthesis,"Best Hack on .TECH Domain , Best Overall Use of Microsoft Technology, Hack on Best Domain Name",http://hacktech.devpost.com/submissions/49862-fotosynthesis,,
1,75,statme,"Best Use of Amazon Web Services (AWS), Best Use of Big Data, Machine Learning, or Data Processing by Taboola, Best Sports/Entertainment Hack, Hack on Best Domain Name",http://hacktech.devpost.com/submissions/49863-statme,,
1,76,Teamder,Caltech Fund Social Good Prize [Caltech Fund],http://hacktech.devpost.com/submissions/49868-teamder,,
1,77,Kontac,,http://hacktech.devpost.com/submissions/49869-kontac,,
1,78,SpeakerCoach,Best Overall Use of Microsoft Technology,http://hacktech.devpost.com/submissions/49870-speakercoach,,
1,79,Qtap,"Best Use of Twilio API [Twilio], Best Overall Use of Microsoft Technology",http://hacktech.devpost.com/submissions/49871-qtap,,
1,80,Thevenin Resistance Finder,"Best Use of Wolfram Technology, Best Education Hack, Best Use of Big Data, Machine Learning, or Data Processing by Taboola",http://hacktech.devpost.com/submissions/49872-thevenin-resistance-finder,,
1,81,Whose Talking ,Best Use of Wolfram Technology,http://hacktech.devpost.com/submissions/49873-whose-talking,,
1,82,Youniversity,,http://hacktech.devpost.com/submissions/49874-youniversity,,
1,83,5 seconds,,http://hacktech.devpost.com/submissions/49875-5-seconds,,
1,84,JoyLuck,"Best Use of Wolfram Technology, Best Hack on .TECH Domain , Best Education Hack, Coolest Developer Tool, Best Use of Twilio API [Twilio], Best Overall Use of Microsoft Technology, Hack on Best Domain Name",http://hacktech.devpost.com/submissions/49876-joyluck,,
1,85,Fencey,"Best Use of Twilio API [Twilio], Best Overall Use of Microsoft Technology",http://hacktech.devpost.com/submissions/49878-fencey,,
1,86,SkinDeep,"Best Medical Hack, Best Use of Big Data, Machine Learning, or Data Processing by Taboola, Best Overall Use of Microsoft Technology",http://hacktech.devpost.com/submissions/49879-skindeep,,
1,87,IsItOpen,,http://hacktech.devpost.com/submissions/49880-isitopen,,
1,88,NaMoStats-Analyzing 2016 US Presidential Elections,,http://hacktech.devpost.com/submissions/49881-namostats-analyzing-2016-us-presidential-elections,,
1,89,Machine Learning Lie Detector,"Best Medical Hack, Best Hardware Hack, Best Use of Big Data, Machine Learning, or Data Processing by Taboola",http://hacktech.devpost.com/submissions/49882-machine-learning-lie-detector,,
1,90,DJCollab,"Best Sports/Entertainment Hack, Best Overall Use of Microsoft Technology",http://hacktech.devpost.com/submissions/49883-djcollab,,
1,91,Teamder,"Best Overall Use of Microsoft Technology, Hack on Best Domain Name",http://hacktech.devpost.com/submissions/49886-teamder,,
